"Name","Gender","Party","Roles","IsParlamentMember","IsOrdförande","IsGovernmentMember","ISViceOrförande"
"Camilla Hansén","kvinna","MP","Kvittningsperson, Andre vice gruppledare, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot, Suppleant","False","False","True","False"
"Johanna Haraldsson","kvinna","S","Kvittningsperson, Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Göran Hargestam","man","SD","Riksdagsledamot, Suppleant","False","False","True","False"
"Anna-Lena Hedberg","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Peter Hedberg","man","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Roger Hedlund","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Ulrika Heie","kvinna","C","Gruppledare, Riksdagsledamot, Ordförande, Ledamot, Ledamot, Ledamot","False","True","True","False"
"Ulrika Heindorff","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Daniel Helldén","man","MP","Språkrör, Riksdagsledamot, Suppleant, Suppleant, Suppleant, Ledamot, Ledamot","False","False","True","False"
"Erik Hellsborn","man","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Caroline Helmersson Olsson","kvinna","S","Kvittningsperson, Riksdagsledamot, Ledamot","False","False","True","False"
"Annika Hirvonen","kvinna","MP","Förste vice gruppledare, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot, Ersättare","False","False","True","False"
"Johanna Hornberger","kvinna","M","Statsrådsersättare, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Dan Hovskär","man","KD","Statsrådsersättare, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Johan Hultberg","man","M","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Peter Hultqvist","man","S","Riksdagsledamot, Ordförande, Vice ordförande, Ledamot, Suppleant","False","True","True","False"
"Per-Arne Håkansson","man","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Marie-Louise Hänel Sandström","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Malin Höglund","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Lars Isacsson","man","S","Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Magnus Jacobsson","man","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Malcolm Momodou Jallow","man","V","Riksdagsledamot, Ordförande","False","True","True","False"
"Kjell Jansson","man","M","Riksdagsledamot, Ledamot","False","False","True","False"
"Lena Johansson","kvinna","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Martina Johansson","kvinna","C","Kvittningsperson, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Morgan Johansson","man","S","Riksdagsledamot, Vice ordförande, Suppleant, Ledamot, Suppleant","False","False","True","True"
"Lotta Johnsson Fornarve","kvinna","V","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Ledamot, Suppleant","False","False","True","False"
"Lars Johnsson","man","M","Statsrådsersättare, Ledamot, Suppleant, Suppleant","False","False","False","False"
"Richard Jomshof","man","SD","Riksdagsledamot, Ordförande","False","True","True","False"
"Anders W Jonsson","man","C","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Mattias Jonsson","man","S","Riksdagsledamot, Ledamot, Vice ordförande","False","False","True","True"
"David Josefsson","man","M","Riksdagsledamot, Ledamot","False","False","True","False"
"Ellen Juntti","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Joakim Järrebring","man","S","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Patrik Jönsson","man","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Markus Kallifatides","man","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Arin Karapet","man","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Ida Karkiainen","kvinna","S","Riksdagsledamot, Ordförande, Ledamot","False","True","True","False"
"Patrik Karlson","man","L","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Anders Karlsson","man","C","Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Maj Karlsson","kvinna","V","Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Mattias Karlsson","man","M","Gruppledare, Riksdagsledamot, Ledamot, Ledamot, Ledamot","False","False","True","False"
"Mattias Karlsson","man","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot, Ledamot, Ledamot","False","False","True","False"
"Niklas Karlsson","man","S","Riksdagsledamot, Ordförande, Personlig suppleant, Ledamot","False","True","True","False"
"Åsa Karlsson","kvinna","S","Riksdagsledamot, Ledamot, Vice ordförande, Ledamot","False","False","True","True"
"Kadir Kasirga","man","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Ingemar Kihlström","man","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Martin Kinnunen","man","SD","Riksdagsledamot, Ledamot, Ledamot, Personlig suppleant, Ledamot","False","False","True","False"
"Julia Kronlid","kvinna","SD","Riksdagsledamot, Andre vice talman, Suppleant, Andre vice ordförande","False","False","True","True"
"Tomas Kronståhl","man","S","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Kent Kumpula","man","SD","Ersättare, Extra suppleant","False","False","False","False"
"Fredrik Kärrholm","man","M","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Serkan Köse","man","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Vice ordförande, Suppleant","False","False","True","True"
"Birger Lahti","man","V","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Linus Lakso","man","MP","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Lars Mejern Larsson","man","S","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
